;id;;lat;;lng;
mark0;2826009;mark1;44.28156;mark2;1.19124;mark3
mark0;2827874;mark1;44.38103;mark2;1.11626;mark3
mark0;2864142;mark1;47.4312;mark2;-0.3964;mark3
mark0;2869006;mark1;45.69021;mark2;0.15603;mark3
mark0;2870104;mark1;48.25931;mark2;-2.90855;mark3
mark0;2870254;mark1;43.07084;mark2;0.09854;mark3
mark0;2873661;mark1;44.38792;mark2;2.33497;mark3
mark0;2879240;mark1;44.69677;mark2;1.24743;mark3
mark0;2885875;mark1;43.957;mark2;1.23;mark3
mark0;2896309;mark1;45.01079;mark2;-0.30037;mark3
mark0;2896647;mark1;44.36551;mark2;0.92252;mark3
mark0;2900008;mark1;43.96436;mark2;1.52298;mark3
mark0;2952287;mark1;44.30433;mark2;1.35647;mark3
mark0;2954466;mark1;44.16142;mark2;1.20166;mark3
mark0;2975008;mark1;43.50313;mark2;1.40612;mark3
mark0;3023989;mark1;44.2408;mark2;1.7176;mark3
mark0;3025103;mark1;44.25567;mark2;0.93221;mark3
mark0;3030645;mark1;43.70203;mark2;1.30522;mark3
mark0;3039159;mark1;44.9994;mark2;-0.43013;mark3
mark0;3044801;mark1;44.50274;mark2;0.17456;mark3
mark0;3045843;mark1;45.65856;mark2;0.14641;mark3
mark0;3047609;mark1;44.36355;mark2;1.61198;mark3
mark0;3049928;mark1;44.1914;mark2;2.03119;mark3
mark0;3050298;mark1;44.44044;mark2;1.17716;mark3
mark0;3059491;mark1;44.15629;mark2;1.3854;mark3
mark0;3060206;mark1;44.15275;mark2;1.19711;mark3
mark0;3069938;mark1;45.00821;mark2;-0.26128;mark3
mark0;3071454;mark1;44.154;mark2;1.757;mark3
mark0;3073584;mark1;44.16323;mark2;1.66128;mark3
mark0;3076227;mark1;44.49;mark2;0.266;mark3
mark0;3080177;mark1;44.80702;mark2;0.20637;mark3
mark0;3083568;mark1;45.00673;mark2;-0.26368;mark3
mark0;3088078;mark1;43.69496;mark2;1.03956;mark3
mark0;3091082;mark1;44.38271;mark2;0.1316;mark3
mark0;3101150;mark1;43.90192;mark2;1.29635;mark3
mark0;3112831;mark1;43.88926;mark2;1.19722;mark3
mark0;3138349;mark1;44.3038;mark2;0.20693;mark3
mark0;3151307;mark1;43.51582;mark2;1.48643;mark3
mark0;3152588;mark1;43.95591;mark2;0.83456;mark3
mark0;3161676;mark1;48.35096;mark2;-3.11027;mark3
mark0;3172042;mark1;44.1544;mark2;1.75564;mark3
mark0;3175115;mark1;43.96458;mark2;1.82077;mark3
mark0;3188393;mark1;44.40526;mark2;1.00062;mark3
mark0;3198325;mark1;43.86264;mark2;1.50829;mark3
mark0;3210775;mark1;44.33901;mark2;1.54761;mark3
mark0;3225611;mark1;44.27355;mark2;1.66351;mark3
mark0;3242345;mark1;49.37382;mark2;1.00009;mark3
mark0;3242449;mark1;44.267;mark2;1.14;mark3
mark0;3252617;mark1;43.80826;mark2;1.24585;mark3
mark0;3254925;mark1;44.12549;mark2;1.71395;mark3
mark0;3255507;mark1;44.8196;mark2;0.07859;mark3
mark0;3267073;mark1;44.38697;mark2;0.83578;mark3
mark0;3277355;mark1;44.19263;mark2;1.28568;mark3
mark0;3277573;mark1;44.39994;mark2;1.12031;mark3
mark0;3301596;mark1;44.60048;mark2;1.2095;mark3
